index,topYear,rank,trackId,trackName,artistName,albumId,albumName,genres,popularity,tempo,energy,danceability,loudness,speechiness,instrumentalness,duration_ms,valence,explicit,duration_m,topGenre
24,2015,25,7MmG8p0F9N3C4AXdK6o6Eb,Outside (feat. Ellie Goulding),Calvin Harris,48zisMeiXniWLzOQghbPqS,Motion,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",78,128.035,0.823,0.646,-4.123,0.0394,0.0,227266,0.418,False,4.0,edm
25,2015,26,09CtPGIpYB4BrO8qb1RGsF,Sorry,Justin Bieber,6Fr2rQkZ383FcMqFyT7yPr,Purpose (Deluxe),"['canadian pop', 'pop', 'post-teen pop']",80,99.945,0.76,0.654,-3.669,0.045,0.0,200786,0.41,False,3.0,pop
26,2015,27,2tnUFMh3wQk6LHhECsDDlV,Electric Love,BØRNS,7EKAfEIc9vry1WVbavPq15,Electric Love,"['electropop', 'modern rock', 'pop']",0,120.063,0.858,0.373,-6.536,0.0889,0.0016,218173,0.605,False,4.0,pop
27,2015,28,3cNjgVBKTJ1SvKhunrCdVy,Please Don't Go,Joel Adams,2SF8Wbc61u8hlQkZYGVCnx,Please Don't Go,"['australian pop', 'pop soul']",74,84.264,0.768,0.513,-4.868,0.0587,1.94e-05,210580,0.235,False,4.0,pop
28,2015,29,5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,Ariana Grande,6EVYTRG1drKdO8OnIQBeEj,My Everything (Deluxe),"['dance pop', 'pop', 'post-teen pop']",76,98.992,0.714,0.472,-4.389,0.0334,0.0,236133,0.24,False,4.0,pop
29,2015,30,4Y6IdA3e4wwLrbKHDjufaC,Love Myself,Hailee Steinfeld,4oeF4AKGQajeLuVVCpHh8c,HAIZ,"['dance pop', 'pop', 'pop dance', 'post-teen pop']",0,122.916,0.765,0.616,-6.75,0.078,0.0,218773,0.343,False,4.0,pop
30,2015,31,0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,1yGbNOtRIgdIiGHOEBaZWf,1989 (Deluxe),"['dance pop', 'pop', 'pop dance']",71,94.933,0.791,0.588,-5.595,0.0402,0.00258,231000,0.487,False,4.0,pop
31,2015,32,6qC8Jj1XOxknPm8N7EbzKX,"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,6eHYEyGAO6phgXexCWV4Iw,"Flashlight (From ""Pitch Perfect 2"" Soundtrack)","['dance pop', 'electropop', 'pop', 'pop dance', 'pop rap', 'post-teen pop', 'viral pop']",0,147.635,0.623,0.458,-7.109,0.0505,5.08e-06,208666,0.417,False,3.0,pop
32,2015,33,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,5W98Ab4VvQEuFEE4TIe5fE,Title (Deluxe),"['dance pop', 'hip pop', 'pop', 'pop dance', 'post-teen pop']",79,108.038,0.53,0.63,-7.259,0.0434,0.0,225053,0.417,False,4.0,pop
33,2015,34,2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,Pitbull,4EUf4YyNjuXypWY6W5wEDm,Globalization,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop dance', 'pop rap']",80,124.043,0.802,0.72,-5.797,0.0582,0.0,229360,0.723,True,4.0,pop
